Client Name,Lobbyist Trading Name
Innova Soil Technology,FordComm Consulting Pty Ltd
Instinet,Wilkinson Media
Insulation Express Pty Ltd,AegisConsultingAustralia Pty Ltd
Insurance Council of Australia,Jackson Wells Pty Ltd
Insurance Council of Australia Limited,Hawker Britton Group
Intelsat Corporation and Intelsat Subsidiary Corporations,Bramex Pty Ltd
InterGen Australia,Colleen Forrester & Associates
Interactive Games & Entertainment Association Ltd,Enhance Corporate
Interactive Gaming Council,Hill & Knowlton
Intergraph,Richardson Coutts Pty Ltd
Interlink Roads,Kreab Gavin Anderson
Interlink Roads Pty Limited,Transurban
International College of Management,Hawker Britton Group
Internet Corporation for Assigned Names and Numbers (ICANN),Hill & Knowlton
Investment and Financial Services Association,Richardson Coutts Pty Ltd
Iplex Pipelines,Repute Communications & Associates Pty Ltd
Iplex Pipelines Australia,Enhance Corporate
Iridium Satellite LLC and Iridium Subsidiary Corporations,Bramex Pty Ltd
JackGreen,Wilkinson Media
Jagermeister,Richardson Coutts Pty Ltd
Janssen-Cilag Pty Ltd,Government Relations Australia Advisory Pty Ltd
Jobfind Centre Australia,Edelman
Jobsupport Inc,Enhance Corporate
Johnston Property Group,Salmon Communications
Joseph Mourched,Herbert Geer
KCI-Medical,David Simmons Corporate Communications
KPMG,RJ Carr Pty Ltd
Kelly Services,Foresight Communications
Kingspan Insulated Panels Pty Ltd,CPR Communications & Public Relations Pty Ltd
Knauf Insulation,Hawker Britton Group
Koppers Australia,Scott & Beaumont Pty Ltd
KordaMentha,John Connolly & Partners
L.E.K. Consulting,Government Relations Australia Advisory Pty Ltd
LIXI Limited,Reputation Pty Ltd
La Vie Developments Pty Limited,Illawarra Regional Development Group
Lance Armstrong Foundation,Parker & Partners Public Affairs
Landcom,NeatCorp Pty Ltd
Landmark Leisure Group Pty Ltd,Enhance Corporate
Larodan Pty Ltd,TJM Consulting
Law Society of NSW,Enhance Corporate
Leading Edge Group,Bluegrass Consulting
Leagues Clubs Australia,CPR Communications & Public Relations Pty Ltd
Leighton Contractors,Kreab Gavin Anderson
Leighton Contractors,shac Communications
Leighton Holdings Ltd,John Connolly & Partners
Leisure Brothers Management Group,Rowland Pty Ltd
Lend Lease,Enhance Corporate
Lend Lease Corporation Limited,Hawker Britton Group
Life Education Australia,Hawker Britton Group
Lifehouse at RPA,Kreab Gavin Anderson
Lindsay Bennelong Developments,Herbert Geer
Linfox,Endeavour Consulting Group Pty Ltd
Linfox Australia Pty Ltd,Forbes Shardlow Pty Ltd
Linfox Pty Ltd,Forbes Shardlow Pty Ltd
Link Communications Corporation Pty Ltd,Bramex Pty Ltd
Lion Nathan,Res Publica Pty Ltd
Lions Australia,Republic Consulting
Live Payments,CPR Communications & Public Relations Pty Ltd
Live Performance Australia,DatelineMedia Group Pty Ltd
Logica Australia Pty Ltd,Hawker Britton Group
Lowy Institute,Scott Taylor Communication
Lucas Property Group,Scott Taylor Communication
Luna Media,Republic Consulting
Luxottica,Sefiani Communications Group
MBIA Inc.,John Connolly & Partners
MBIA Insurance Corporation,Hawker Britton Group
MOSS,Edelman
MTAA Superannuation Fund Pty Ltd,Endeavour Consulting Group Pty Ltd
Macarthur Intermodal Shipping Terminal,John Durst Consulting
Macmahon Contractors,Profile Ray & Berndtson
Macquarie Capital Alliance Group,Macquarie Group Limited
Macquarie Equipment Finance,Statecraft
Macquarie Generation,Colleen Forrester & Associates
Macquarie Group Limited,Hawker Britton Group
Macquarie Group Limited,RJ Carr Pty Ltd
Macquarie Group Limited,Profile Ray & Berndtson
Macquarie Group Ltd,Richardson Coutts Pty Ltd
Macquarie Media Group,Macquarie Group Limited
Macquarie Southern Cross Media Pty Ltd,Macquarie Group Limited
Mallesons Stephen Jaques,RJ Carr Pty Ltd
Manidis Roberts,Profile Ray & Berndtson
Manildra Group,Sciaccas Lawyers and Consultants
Manns Homeworld,CRAKYL Pty Ltd
Maritime Union of Australia,CPR Communications & Public Relations Pty Ltd
Mars,Kreab Gavin Anderson
Martinique Constructions Pty Ltd,Edelman
Master Builders NSW,Wilkinson Media
Matcove Pty Limited,Herbert Geer
Maton Investments Pty Ltd,GR Solutions
Matthew Talbot Hostel,Scott Taylor Communication
Maunsell/ AECOM,Government Relations Australia Advisory Pty Ltd
Mawson Medical Centre,Health Properties Project Marketing
Maximus Resources Ltd,GR Solutions
Maxxia Pty Ltd,Profile Ray & Berndtson
McAfee,Hill & Knowlton
McDonalds Australia,Scott Taylor Communication
McKesson Asia Pacific,Hawker Britton Group
McKinsey and Company,Richardson Coutts Pty Ltd
McMillian Shakespeare,Enhance Corporate
Media Monitors,Hawker Britton Group
"Medical Staff Council, Royal North Shore Hospital",Hawker Britton Group
Medich Property Holdings,Graham Richardson
Mega Uranium Ltd,Endeavour Consulting Group Pty Ltd
Memo Corporation,Hawker Britton Group
Merivale,Hawker Britton Group
Metcash Trading Limited,Profile Ray & Berndtson
Metro Transport Sydney,Hawker Britton Group
Mick Young Scholarship Trust,Foresight Communications
Microbiogen Pty Ltd,Res Publica Pty Ltd
Miller and Associates Insurance and Broking,CPR Communications & Public Relations Pty Ltd
Mincom,AusAccess Pty Ltd
Mincom Limited,Enhance Corporate
Mining Industry Skills Centre,Colleen Forrester & Associates
Minorplanet,Parker & Partners Public Affairs
Minter Ellison Lawyers,LESL Services Pty Limited
Mirabel Foundation,Government Relations Australia Advisory Pty Ltd
Mitsubishi Motors Australia Limited,Government Relations Australia Advisory Pty Ltd
Modern Solar,Wilkinson Media
Mogaz Pty Ltd,Hawker Britton Group
Molonglo Group,Ally Group
Monarch Investment Group of Companies,TJM Consulting
Monash University,Forbes Shardlow Pty Ltd
Mondell Properties,FordComm Consulting Pty Ltd
Morgan and Banks Investments,Hawker Britton Group
Mortgage Choice,Reputation Pty Ltd
Motor Traders’ Association of NSW,Hawker Britton Group
Motorola Australia Pty Ltd,Bramex Pty Ltd
Motorola Australia Pty Ltd,Hawker Britton Group
Muru Mittigar Aboriginal Cultural and Education Centre,Chikarovski & Associates Pty Ltd
Muscle Sprouts,David Sheil
Museum of Contemporary Art,Hawker Britton Group
N/A,Pacific Rim Australasia Pty Ltd
NIB Health Funds Ltd,NeatCorp Pty Ltd
NIDC,Hill & Knowlton
NRMA Motoring and Services,Kreab Gavin Anderson
NSW Bookmaker Co-operative Ltd,Peter Fletcher
NSW Business Chamber,Parker & Partners Public Affairs
NSW Council for Intellectual Disability,Hawker Britton Group
NSW Harness Racing Club,Scott Taylor Communication
NSW Taxi Council,Australian Public Affairs Ltd Partnership
NSW Taxi Industry Association,Australian Public Affairs Ltd Partnership
NatRoad Ltd,Kreab Gavin Anderson
National Association of Obstetricians and Gynaecologists,Forbes Shardlow Pty Ltd
National Ceramic Industries Aust. Pty Ltd,Graham Richardson
National Farmers Federation,David Sheil
National Generators Forum,Colleen Forrester & Associates
National Rugby League,Enhance Corporate
Navitas,Hawker Britton Group
Nestle,Parker & Partners Public Affairs
Nestle,Parker & Partners Public Affairs
New England Trading Pty Ltd,David Simmons Corporate Communications
Newcastle Coal Infrastructure Group,Government Relations Australia Advisory Pty Ltd
Newcastle Infrastructure Group,Margaret Fisher & Associates
Newnes Kaolin Pty Ltd,The Fifth Estate
Newsagents Association of New South Wales (NANA),SR7
Nib,Res Publica Pty Ltd
Nippon Paper Group,Parker & Partners Public Affairs
Nordiko Quarantine Systems Pty Ltd,Endeavour Consulting Group Pty Ltd
North Shore Bridge Club,Touchpoint Australia
North West Transport Hub,Wilkinson Media
Northgate Public Services,Hawker Britton Group
Norwood Park,John Durst Consulting
Novotech,DatelineMedia Group Pty Ltd
Nutricia,Hill & Knowlton
Oceanlinx Limited,Chikarovski & Associates Pty Ltd
Ochre Health,Springboard Australia Pty Ltd
Octapharma Australia Pty Ltd,Carney Associates
Octec Incorporated,David Simmons Corporate Communications
Office Brands,CPR Communications & Public Relations Pty Ltd
Omnilink,Ally Group
One Hundred,CMW Media Pty Ltd
One at a Time Foundation,Edelman
OneSteel,Kreab Gavin Anderson
Ontario Teachers’ Pension Plan Board,Hawker Britton Group
Ooh! Media,Lighthouse Communications Group
Optim Legal,DatelineMedia Group Pty Ltd
Optometrists Association NSW,TJM Consulting
